word,category,section,subcategory,phonetic,part_of_speech,meaning_cn,example_en,example_cn,source,difficulty
hallmark,GRE,GRE核心词,GRE核心词,,n.,特征,,,gre核心词data.xlsx,1
hallow,GRE,GRE核心词,GRE核心词,,v.,"尊敬, 崇敬",,,gre核心词data.xlsx,1
hallucinogen,GRE,GRE核心词,GRE核心词,,n.,迷幻剂,,,gre核心词data.xlsx,1
halt,GRE,GRE核心词,GRE核心词,,v.,停止,,,gre核心词data.xlsx,1
hamper,GRE,GRE核心词,GRE核心词,,adj.,阻碍,,,gre核心词data.xlsx,1
hamstring,GRE,GRE核心词,GRE核心词,,v.,损坏,,,gre核心词data.xlsx,1
hand-wringing,GRE,GRE核心词,GRE核心词,,n.,焦虑的、绝望的言谈举止,,,gre核心词data.xlsx,1
handicap,GRE,GRE核心词,GRE核心词,,n.,障碍,,,gre核心词data.xlsx,1
hands-off,GRE,GRE核心词,GRE核心词,,adj.,不干涉的，不插手的,,,gre核心词data.xlsx,1
haphazard,GRE,GRE核心词,GRE核心词,,adj.,"无序的, 凌乱的",,,gre核心词data.xlsx,1
harbinger,GRE,GRE核心词,GRE核心词,,n.,前兆,,,gre核心词data.xlsx,1
hard-boiled,GRE,GRE核心词,GRE核心词,,adj.,"强硬的, 不动感情的",,,gre核心词data.xlsx,1
hard-nosed,GRE,GRE核心词,GRE核心词,,adj.,顽强的,,,gre核心词data.xlsx,1
hardliner,GRE,GRE核心词,GRE核心词,,n.,强硬分子,,,gre核心词data.xlsx,1
hardy,GRE,GRE核心词,GRE核心词,,adj.,吃苦耐劳的,,,gre核心词data.xlsx,1
harness,GRE,GRE核心词,GRE核心词,,v.,利用,,,gre核心词data.xlsx,1
harrow,GRE,GRE核心词,GRE核心词,,v.,"折磨, 使...痛苦",,,gre核心词data.xlsx,1
harry,GRE,GRE核心词,GRE核心词,,v.,"打扰, 骚扰",,,gre核心词data.xlsx,1
has-been,GRE,GRE核心词,GRE核心词,,n.,过时的人,,,gre核心词data.xlsx,1
hasty,GRE,GRE核心词,GRE核心词,,adj.,"快速的, 仓促的",,,gre核心词data.xlsx,1
haughty,GRE,GRE核心词,GRE核心词,,adj.,"高傲的, 傲慢的",,,gre核心词data.xlsx,1
hazardous,GRE,GRE核心词,GRE核心词,,adj.,危险的,,,gre核心词data.xlsx,1
heartfelt,GRE,GRE核心词,GRE核心词,,adj.,真诚的,,,gre核心词data.xlsx,1
heartrending,GRE,GRE核心词,GRE核心词,,adj.,令人心痛的,,,gre核心词data.xlsx,1
hectic,GRE,GRE核心词,GRE核心词,,adj.,非常忙碌的,,,gre核心词data.xlsx,1
hedge,GRE,GRE核心词,GRE核心词,,n.,故意模棱两可不绝对的言论,,,gre核心词data.xlsx,1
hedonism,GRE,GRE核心词,GRE核心词,,n.,享乐主义,,,gre核心词data.xlsx,1
heed,GRE,GRE核心词,GRE核心词,,v.,"留心, 注意",,,gre核心词data.xlsx,1
hefty,GRE,GRE核心词,GRE核心词,,adj.,又大又重的,,,gre核心词data.xlsx,1
helter-skelter,GRE,GRE核心词,GRE核心词,,adv.,匆促忙乱地,,,gre核心词data.xlsx,1
herald,GRE,GRE核心词,GRE核心词,,n.,前兆,,,gre核心词data.xlsx,1
hereabouts,GRE,GRE核心词,GRE核心词,,adv.,在附近,,,gre核心词data.xlsx,1
hereditary,GRE,GRE核心词,GRE核心词,,adj.,遗传的,,,gre核心词data.xlsx,1
heresy,GRE,GRE核心词,GRE核心词,,n.,与主流观点相悖的观点,,,gre核心词data.xlsx,1
heretofore,GRE,GRE核心词,GRE核心词,,adv.,迄今为止,,,gre核心词data.xlsx,1
hermetic,GRE,GRE核心词,GRE核心词,,adj.,密闭的,,,gre核心词data.xlsx,1
heterodox,GRE,GRE核心词,GRE核心词,,adj.,"异端邪说的, 非主流观点的",,,gre核心词data.xlsx,1
heterogeneous,GRE,GRE核心词,GRE核心词,,adj.,"组成多样的, 混合的",,,gre核心词data.xlsx,1
hew,GRE,GRE核心词,GRE核心词,,v.,遵守,,,gre核心词data.xlsx,1
hiatus,GRE,GRE核心词,GRE核心词,,n.,间歇,,,gre核心词data.xlsx,1
hidebound,GRE,GRE核心词,GRE核心词,,adj.,守旧的,,,gre核心词data.xlsx,1
hideous,GRE,GRE核心词,GRE核心词,,adj.,丑陋吓人的,,,gre核心词data.xlsx,1
hierarchy,GRE,GRE核心词,GRE核心词,,n.,"等级制度, 有等级划分的组织",,,gre核心词data.xlsx,1
high-minded,GRE,GRE核心词,GRE核心词,,adj.,高尚的,,,gre核心词data.xlsx,1
highlight,GRE,GRE核心词,GRE核心词,,v.,使...突出,,,gre核心词data.xlsx,1
hinder,GRE,GRE核心词,GRE核心词,,v.,阻碍,,,gre核心词data.xlsx,1
histrionic,GRE,GRE核心词,GRE核心词,,adj.,"戏剧性的, 做作的",,,gre核心词data.xlsx,1
hitch,GRE,GRE核心词,GRE核心词,,n.,"（隐形的）问题, 难题",,,gre核心词data.xlsx,1
hitherto,GRE,GRE核心词,GRE核心词,,adv.,至今,,,gre核心词data.xlsx,1
hoard,GRE,GRE核心词,GRE核心词,,v.,贮藏,,,gre核心词data.xlsx,1
hoary,GRE,GRE核心词,GRE核心词,,adj.,老掉牙的,,,gre核心词data.xlsx,1
hoax,GRE,GRE核心词,GRE核心词,,v.,欺骗,,,gre核心词data.xlsx,1
hodgepodge,GRE,GRE核心词,GRE核心词,,n.,"混杂, 混合物",,,gre核心词data.xlsx,1
holistic,GRE,GRE核心词,GRE核心词,,adj.,整体的,,,gre核心词data.xlsx,1
homogeneous,GRE,GRE核心词,GRE核心词,,adj.,同种的，相似的,,,gre核心词data.xlsx,1
hone,GRE,GRE核心词,GRE核心词,,v.,磨炼（技能）,,,gre核心词data.xlsx,1
honorific,GRE,GRE核心词,GRE核心词,,adj.,尊敬的,,,gre核心词data.xlsx,1
hoodwink,GRE,GRE核心词,GRE核心词,,v.,欺骗,,,gre核心词data.xlsx,1
horrific,GRE,GRE核心词,GRE核心词,,adj.,可怕的,,,gre核心词data.xlsx,1
hortatory,GRE,GRE核心词,GRE核心词,,adj.,劝告的，激励的,,,gre核心词data.xlsx,1
hostile,GRE,GRE核心词,GRE核心词,,adj.,"不友好的, 敌对的",,,gre核心词data.xlsx,1
hubris,GRE,GRE核心词,GRE核心词,,n.,"自大, 傲慢",,,gre核心词data.xlsx,1
humanitarian,GRE,GRE核心词,GRE核心词,,adj.,"人道的, 博爱的",,,gre核心词data.xlsx,1
humdrum,GRE,GRE核心词,GRE核心词,,adj.,"无聊的, 千篇一律的",,,gre核心词data.xlsx,1
humility,GRE,GRE核心词,GRE核心词,,n.,谦虚,,,gre核心词data.xlsx,1
humor,GRE,GRE核心词,GRE核心词,,n.,幽默,,,gre核心词data.xlsx,1
hurtle,GRE,GRE核心词,GRE核心词,,v.,"猛冲, 猛烈碰撞",,,gre核心词data.xlsx,1
husband,GRE,GRE核心词,GRE核心词,,v.,节省,,,gre核心词data.xlsx,1
husbandry,GRE,GRE核心词,GRE核心词,,n.,"农业, 畜牧业, 饲养业",,,gre核心词data.xlsx,1
hyperbole,GRE,GRE核心词,GRE核心词,,n.,夸张,,,gre核心词data.xlsx,1
hypercritical,GRE,GRE核心词,GRE核心词,,adj.,吹毛求疵的,,,gre核心词data.xlsx,1
hypocrisy,GRE,GRE核心词,GRE核心词,,n.,"虚伪, 伪善",,,gre核心词data.xlsx,1
hysteria,GRE,GRE核心词,GRE核心词,,n.,歇斯底里，情绪失控,,,gre核心词data.xlsx,1
iconoclast,GRE,GRE核心词,GRE核心词,,n.,提倡打破旧习的人,,,gre核心词data.xlsx,1
identical,GRE,GRE核心词,GRE核心词,,adj.,完全一样的,,,gre核心词data.xlsx,1
ideologue,GRE,GRE核心词,GRE核心词,,n.,理论家，提倡者,,,gre核心词data.xlsx,1
ideology,GRE,GRE核心词,GRE核心词,,n.,"思想体系, 意识形态",,,gre核心词data.xlsx,1
idiosyncrasy,GRE,GRE核心词,GRE核心词,,n.,独特的气质,,,gre核心词data.xlsx,1
idle,GRE,GRE核心词,GRE核心词,,adj.,空闲的,,,gre核心词data.xlsx,1
ignorant,GRE,GRE核心词,GRE核心词,,adj.,无知的,,,gre核心词data.xlsx,1
ill-advised,GRE,GRE核心词,GRE核心词,,adj.,"不明智的, 不合理的",,,gre核心词data.xlsx,1
illuminate,GRE,GRE核心词,GRE核心词,,v.,阐述清楚,,,gre核心词data.xlsx,1
illusory,GRE,GRE核心词,GRE核心词,,adj.,虚假的,,,gre核心词data.xlsx,1
illustrious,GRE,GRE核心词,GRE核心词,,adj.,杰出的,,,gre核心词data.xlsx,1
imbibe,GRE,GRE核心词,GRE核心词,,v.,喝,,,gre核心词data.xlsx,1
imitate,GRE,GRE核心词,GRE核心词,,v.,模仿,,,gre核心词data.xlsx,1
immediate,GRE,GRE核心词,GRE核心词,,adj.,紧靠的，最接近的,,,gre核心词data.xlsx,1
immense,GRE,GRE核心词,GRE核心词,,adj.,巨大的,,,gre核心词data.xlsx,1
immerse,GRE,GRE核心词,GRE核心词,,v.,"浸润, 浸泡",,,gre核心词data.xlsx,1
immolate,GRE,GRE核心词,GRE核心词,,v.,用火摧毁,,,gre核心词data.xlsx,1
immortal,GRE,GRE核心词,GRE核心词,,adj.,"不朽的, 永存的",,,gre核心词data.xlsx,1
immure,GRE,GRE核心词,GRE核心词,,v.,囚禁,,,gre核心词data.xlsx,1
immutable,GRE,GRE核心词,GRE核心词,,adj.,不变的,,,gre核心词data.xlsx,1
impair,GRE,GRE核心词,GRE核心词,,v.,损害,,,gre核心词data.xlsx,1
impartial,GRE,GRE核心词,GRE核心词,,adj.,"公正的, 不偏不倚的",,,gre核心词data.xlsx,1
impasse,GRE,GRE核心词,GRE核心词,,n.,僵局,,,gre核心词data.xlsx,1
impassioned,GRE,GRE核心词,GRE核心词,,adj.,充满激情的,,,gre核心词data.xlsx,1
impeccable,GRE,GRE核心词,GRE核心词,,adj.,完美无瑕的,,,gre核心词data.xlsx,1
impecunious,GRE,GRE核心词,GRE核心词,,adj.,贫穷的,,,gre核心词data.xlsx,1
impede,GRE,GRE核心词,GRE核心词,,v.,阻碍,,,gre核心词data.xlsx,1
impenetrable,GRE,GRE核心词,GRE核心词,,adj.,难懂的,,,gre核心词data.xlsx,1
imperative,GRE,GRE核心词,GRE核心词,,adj.,重要的,,,gre核心词data.xlsx,1
imperial,GRE,GRE核心词,GRE核心词,,adj.,帝国的,,,gre核心词data.xlsx,1
imperil,GRE,GRE核心词,GRE核心词,,v.,使处于危险,,,gre核心词data.xlsx,1
impersonal,GRE,GRE核心词,GRE核心词,,adj.,没有人情味的,,,gre核心词data.xlsx,1
impertinent,GRE,GRE核心词,GRE核心词,,adj.,粗鲁的,,,gre核心词data.xlsx,1
imperturbable,GRE,GRE核心词,GRE核心词,,adj.,"镇定的, 冷静的",,,gre核心词data.xlsx,1
impervious,GRE,GRE核心词,GRE核心词,,adj.,不能渗透的,,,gre核心词data.xlsx,1
impetuous,GRE,GRE核心词,GRE核心词,,adj.,"鲁莽的, 仓促的",,,gre核心词data.xlsx,1
impinge,GRE,GRE核心词,GRE核心词,,v.,猛烈撞击,,,gre核心词data.xlsx,1
implacable,GRE,GRE核心词,GRE核心词,,adj.,"不能安抚的, 毫不妥协的",,,gre核心词data.xlsx,1
implicate,GRE,GRE核心词,GRE核心词,,v.,牵涉,,,gre核心词data.xlsx,1
implore,GRE,GRE核心词,GRE核心词,,v.,"恳求, 哀求",,,gre核心词data.xlsx,1
impolitic,GRE,GRE核心词,GRE核心词,,adj.,不明智的,,,gre核心词data.xlsx,1
impose,GRE,GRE核心词,GRE核心词,,v.,把…强加于,,,gre核心词data.xlsx,1
imposter,GRE,GRE核心词,GRE核心词,,n.,冒名顶替的人,,,gre核心词data.xlsx,1
impotent,GRE,GRE核心词,GRE核心词,,adj.,"无力的, 无效的",,,gre核心词data.xlsx,1
impoverished,GRE,GRE核心词,GRE核心词,,adj.,"贫瘠的, 贫穷的",,,gre核心词data.xlsx,1
impregnable,GRE,GRE核心词,GRE核心词,,adj.,坚固的,,,gre核心词data.xlsx,1
impressionable,GRE,GRE核心词,GRE核心词,,adj.,易受影响的,,,gre核心词data.xlsx,1
improvise,GRE,GRE核心词,GRE核心词,,v.,即兴表演,,,gre核心词data.xlsx,1
impudent,GRE,GRE核心词,GRE核心词,,adj.,无礼的,,,gre核心词data.xlsx,1
impugn,GRE,GRE核心词,GRE核心词,,v.,（因人不诚实而）批评抨击,,,gre核心词data.xlsx,1
impulsive,GRE,GRE核心词,GRE核心词,,adj.,"冲动的, 不加思索的",,,gre核心词data.xlsx,1
impunity,GRE,GRE核心词,GRE核心词,,v.,"免于处罚, 免罪",,,gre核心词data.xlsx,1
impute,GRE,GRE核心词,GRE核心词,,v.,"归罪于, 归咎于",,,gre核心词data.xlsx,1
inadvertent,GRE,GRE核心词,GRE核心词,,adj.,"粗心的, 不留意的",,,gre核心词data.xlsx,1
inappropriate,GRE,GRE核心词,GRE核心词,,adj.,不适当的，不合适的,,,gre核心词data.xlsx,1
inattention,GRE,GRE核心词,GRE核心词,,n.,"不留心, 不注意",,,gre核心词data.xlsx,1
incendiary,GRE,GRE核心词,GRE核心词,,adj.,纵火的,,,gre核心词data.xlsx,1
incense,GRE,GRE核心词,GRE核心词,,v.,激怒,,,gre核心词data.xlsx,1
incentive,GRE,GRE核心词,GRE核心词,,n.,激励,,,gre核心词data.xlsx,1
inching,GRE,GRE核心词,GRE核心词,,n.,缓慢移动,,,gre核心词data.xlsx,1
inchoate,GRE,GRE核心词,GRE核心词,,adj.,早期的,,,gre核心词data.xlsx,1
incipient,GRE,GRE核心词,GRE核心词,,adj.,开始的,,,gre核心词data.xlsx,1
incisive,GRE,GRE核心词,GRE核心词,,adj.,"一针见血的, 深刻尖锐的",,,gre核心词data.xlsx,1
incivility,GRE,GRE核心词,GRE核心词,,n.,不礼貌,,,gre核心词data.xlsx,1
inclusive,GRE,GRE核心词,GRE核心词,,adj.,包罗万象的，全面的,,,gre核心词data.xlsx,1
incomparable,GRE,GRE核心词,GRE核心词,,adj.,无与伦比的,,,gre核心词data.xlsx,1
incompatible,GRE,GRE核心词,GRE核心词,,adj.,"无法共存的, 不可兼容的",,,gre核心词data.xlsx,1
inconclusive,GRE,GRE核心词,GRE核心词,,adj.,"无结果的, 不确定的",,,gre核心词data.xlsx,1
incontrovertible,GRE,GRE核心词,GRE核心词,,adj.,不容质疑的,,,gre核心词data.xlsx,1
increment,GRE,GRE核心词,GRE核心词,,n.,"增长, 递增",,,gre核心词data.xlsx,1
incumbent,GRE,GRE核心词,GRE核心词,,n.,在职官员,,,gre核心词data.xlsx,1
incursion,GRE,GRE核心词,GRE核心词,,n.,"侵入, 侵犯",,,gre核心词data.xlsx,1
indebted,GRE,GRE核心词,GRE核心词,,adj.,感激的,,,gre核心词data.xlsx,1
indefatigable,GRE,GRE核心词,GRE核心词,,adj.,不知疲倦的,,,gre核心词data.xlsx,1
indemnify,GRE,GRE核心词,GRE核心词,,v.,赔偿,,,gre核心词data.xlsx,1
indeterminate,GRE,GRE核心词,GRE核心词,,adj.,不确定的,,,gre核心词data.xlsx,1
indict,GRE,GRE核心词,GRE核心词,,v.,指控,,,gre核心词data.xlsx,1
indifferent,GRE,GRE核心词,GRE核心词,,adj.,冷漠的,,,gre核心词data.xlsx,1
indigenous,GRE,GRE核心词,GRE核心词,,adj.,当地的,,,gre核心词data.xlsx,1
indignant,GRE,GRE核心词,GRE核心词,,adj.,非常愤怒的,,,gre核心词data.xlsx,1
indiscernible,GRE,GRE核心词,GRE核心词,,adj.,不明显的,,,gre核心词data.xlsx,1
indiscriminate,GRE,GRE核心词,GRE核心词,,adj.,"不加区分的, 不加选择的",,,gre核心词data.xlsx,1
indispensable,GRE,GRE核心词,GRE核心词,,adj.,不可缺少的,,,gre核心词data.xlsx,1
indisputable,GRE,GRE核心词,GRE核心词,,adj.,不容置疑的,,,gre核心词data.xlsx,1
individualism,GRE,GRE核心词,GRE核心词,,n.,个人主义,,,gre核心词data.xlsx,1
indolent,GRE,GRE核心词,GRE核心词,,adj.,懒惰的,,,gre核心词data.xlsx,1
induce,GRE,GRE核心词,GRE核心词,,v.,诱导,,,gre核心词data.xlsx,1
indulgent,GRE,GRE核心词,GRE核心词,,adj.,纵容的,,,gre核心词data.xlsx,1
industry,GRE,GRE核心词,GRE核心词,,n.,努力,,,gre核心词data.xlsx,1
ineffable,GRE,GRE核心词,GRE核心词,,adj.,难以言表的,,,gre核心词data.xlsx,1
inept,GRE,GRE核心词,GRE核心词,,adj.,无能的,,,gre核心词data.xlsx,1
inertia,GRE,GRE核心词,GRE核心词,,n.,"不动, 不活跃",,,gre核心词data.xlsx,1
inestimable,GRE,GRE核心词,GRE核心词,,adj.,量大无法估量的,,,gre核心词data.xlsx,1
inevitable,GRE,GRE核心词,GRE核心词,,adj.,"不可避免的, 必然的",,,gre核心词data.xlsx,1
inexorable,GRE,GRE核心词,GRE核心词,,adj.,"无动于衷的,无情的",,,gre核心词data.xlsx,1
inexpressible,GRE,GRE核心词,GRE核心词,,adj.,无以言表的,,,gre核心词data.xlsx,1
inextricable,GRE,GRE核心词,GRE核心词,,adj.,"纠缠不清的, 无法解脱的",,,gre核心词data.xlsx,1
infectious,GRE,GRE核心词,GRE核心词,,adj.,传染的,,,gre核心词data.xlsx,1
infinite,GRE,GRE核心词,GRE核心词,,adj.,无限的,,,gre核心词data.xlsx,1
inflammatory,GRE,GRE核心词,GRE核心词,,adj.,煽动性的,,,gre核心词data.xlsx,1
inform,GRE,GRE核心词,GRE核心词,,v.,通知,,,gre核心词data.xlsx,1
infuriate,GRE,GRE核心词,GRE核心词,,v.,使...愤怒,,,gre核心词data.xlsx,1
ingenious,GRE,GRE核心词,GRE核心词,,adj.,"天才的, 聪明的",,,gre核心词data.xlsx,1
ingenuous,GRE,GRE核心词,GRE核心词,,adj.,"纯朴的, 真诚的",,,gre核心词data.xlsx,1
ingratiate,GRE,GRE核心词,GRE核心词,,v.,讨好,,,gre核心词data.xlsx,1
inhale,GRE,GRE核心词,GRE核心词,,v.,吸入,,,gre核心词data.xlsx,1
inhibit,GRE,GRE核心词,GRE核心词,,v.,"抑制, 限制",,,gre核心词data.xlsx,1
inhospitable,GRE,GRE核心词,GRE核心词,,adj.,不友好的,,,gre核心词data.xlsx,1
inimical,GRE,GRE核心词,GRE核心词,,adj.,"有害的, 不友好的",,,gre核心词data.xlsx,1
initiate,GRE,GRE核心词,GRE核心词,,v.,"开始, 启动",,,gre核心词data.xlsx,1
innate,GRE,GRE核心词,GRE核心词,,adj.,天生的,,,gre核心词data.xlsx,1
innocuous,GRE,GRE核心词,GRE核心词,,adj.,无害的,,,gre核心词data.xlsx,1
inoculate,GRE,GRE核心词,GRE核心词,,v.,"（给某人）灌输, 注入（想法）",,,gre核心词data.xlsx,1
inquisitive,GRE,GRE核心词,GRE核心词,,adj.,好奇的,,,gre核心词data.xlsx,1
insatiable,GRE,GRE核心词,GRE核心词,,adj.,无法满足的,,,gre核心词data.xlsx,1
inscrutable,GRE,GRE核心词,GRE核心词,,adj.,难以理解的,,,gre核心词data.xlsx,1
insensitive,GRE,GRE核心词,GRE核心词,,adj.,"漠视的, 不在乎的",,,gre核心词data.xlsx,1
insidious,GRE,GRE核心词,GRE核心词,,adj.,"阴险的, 暗中为害的",,,gre核心词data.xlsx,1
insightful,GRE,GRE核心词,GRE核心词,,adj.,有洞察力的,,,gre核心词data.xlsx,1
insinuate,GRE,GRE核心词,GRE核心词,,v.,暗示(表不满),,,gre核心词data.xlsx,1
insipid,GRE,GRE核心词,GRE核心词,,adj.,无聊的,,,gre核心词data.xlsx,1
insolent,GRE,GRE核心词,GRE核心词,,adj.,无礼的,,,gre核心词data.xlsx,1
insouciance,GRE,GRE核心词,GRE核心词,,n.,"无忧无虑, 不操心",,,gre核心词data.xlsx,1
instantiate,GRE,GRE核心词,GRE核心词,,v.,"举例, 例证",,,gre核心词data.xlsx,1
instigate,GRE,GRE核心词,GRE核心词,,v.,"激起, 挑起",,,gre核心词data.xlsx,1
instinct,GRE,GRE核心词,GRE核心词,,n.,本能,,,gre核心词data.xlsx,1
instrumental,GRE,GRE核心词,GRE核心词,,adj.,重要的,,,gre核心词data.xlsx,1
insufferable,GRE,GRE核心词,GRE核心词,,adj.,无法忍受的,,,gre核心词data.xlsx,1
insular,GRE,GRE核心词,GRE核心词,,adj.,孤立的,,,gre核心词data.xlsx,1
insulate,GRE,GRE核心词,GRE核心词,,v.,"绝缘, 绝热, 隔音",,,gre核心词data.xlsx,1
insult,GRE,GRE核心词,GRE核心词,,v.,"侮辱, 辱骂",,,gre核心词data.xlsx,1
insurrection,GRE,GRE核心词,GRE核心词,,n.,造反,,,gre核心词data.xlsx,1
intact,GRE,GRE核心词,GRE核心词,,adj.,完整的,,,gre核心词data.xlsx,1
integrity,GRE,GRE核心词,GRE核心词,,n.,正直,,,gre核心词data.xlsx,1
intelligible,GRE,GRE核心词,GRE核心词,,adj.,可以理解的,,,gre核心词data.xlsx,1
interchangeable,GRE,GRE核心词,GRE核心词,,adj.,"可交换的, 相似的",,,gre核心词data.xlsx,1
interdisciplinary,GRE,GRE核心词,GRE核心词,,adj.,交叉学科的,,,gre核心词data.xlsx,1
interjection,GRE,GRE核心词,GRE核心词,,n.,插话,,,gre核心词data.xlsx,1
interlocutor,GRE,GRE核心词,GRE核心词,,n.,对话者,,,gre核心词data.xlsx,1
interlope,GRE,GRE核心词,GRE核心词,,v.,"入侵, 干涉",,,gre核心词data.xlsx,1
intermediary,GRE,GRE核心词,GRE核心词,,adj.,（作为）中间人(的),,,gre核心词data.xlsx,1
interminable,GRE,GRE核心词,GRE核心词,,adj.,"持续的, 没完没了的",,,gre核心词data.xlsx,1
intermittent,GRE,GRE核心词,GRE核心词,,adj.,间歇的，断断续续的,,,gre核心词data.xlsx,1
interweave,GRE,GRE核心词,GRE核心词,,v.,混合,,,gre核心词data.xlsx,1
intimate,GRE,GRE核心词,GRE核心词,,adj.,亲密无间的,,,gre核心词data.xlsx,1
intimidate,GRE,GRE核心词,GRE核心词,,v.,恐吓,,,gre核心词data.xlsx,1
intoxicate,GRE,GRE核心词,GRE核心词,,v.,"使...陶醉, 沉醉",,,gre核心词data.xlsx,1
intransigent,GRE,GRE核心词,GRE核心词,,adj.,"不妥协的, 固执的",,,gre核心词data.xlsx,1
intrigue,GRE,GRE核心词,GRE核心词,,n.,"密谋, 诡计",,,gre核心词data.xlsx,1
intriguing,GRE,GRE核心词,GRE核心词,,adj.,非常有趣的,,,gre核心词data.xlsx,1
intrinsic,GRE,GRE核心词,GRE核心词,,adj.,"核心的, 内在的",,,gre核心词data.xlsx,1
introspect,GRE,GRE核心词,GRE核心词,,v.,自省,,,gre核心词data.xlsx,1
intrude,GRE,GRE核心词,GRE核心词,,v.,闯入,,,gre核心词data.xlsx,1
intuition,GRE,GRE核心词,GRE核心词,,n.,直觉,,,gre核心词data.xlsx,1
inure,GRE,GRE核心词,GRE核心词,,v.,习惯于（不好的事物）,,,gre核心词data.xlsx,1
invalidate,GRE,GRE核心词,GRE核心词,,v.,"削弱, 使...无效",,,gre核心词data.xlsx,1
invaluable,GRE,GRE核心词,GRE核心词,,adj.,极具价值的,,,gre核心词data.xlsx,1
invective,GRE,GRE核心词,GRE核心词,,n.,"辱骂, 侮辱",,,gre核心词data.xlsx,1
inveigle,GRE,GRE核心词,GRE核心词,,v.,诱骗,,,gre核心词data.xlsx,1
inverse,GRE,GRE核心词,GRE核心词,,adj.,相反的,,,gre核心词data.xlsx,1
invert,GRE,GRE核心词,GRE核心词,,v.,颠倒，倒置,,,gre核心词data.xlsx,1
invertebrate,GRE,GRE核心词,GRE核心词,,adj.,软弱无力的,,,gre核心词data.xlsx,1
inveterate,GRE,GRE核心词,GRE核心词,,adj.,根深蒂固的,,,gre核心词data.xlsx,1
invidious,GRE,GRE核心词,GRE核心词,,adj.,令人反感的,,,gre核心词data.xlsx,1
invigorate,GRE,GRE核心词,GRE核心词,,v.,使...有活力,,,gre核心词data.xlsx,1
inviting,GRE,GRE核心词,GRE核心词,,adj.,吸引人的,,,gre核心词data.xlsx,1
invoke,GRE,GRE核心词,GRE核心词,,v.,引述,,,gre核心词data.xlsx,1
involuntary,GRE,GRE核心词,GRE核心词,,adj.,无意识的,,,gre核心词data.xlsx,1
involved,GRE,GRE核心词,GRE核心词,,adj.,复杂的,,,gre核心词data.xlsx,1
irascible,GRE,GRE核心词,GRE核心词,,adj.,"易怒的, 坏脾气的",,,gre核心词data.xlsx,1
irenic,GRE,GRE核心词,GRE核心词,,adj.,和平的,,,gre核心词data.xlsx,1
iridescent,GRE,GRE核心词,GRE核心词,,adj.,色彩斑斓的；辉煌灿烂的,,,gre核心词data.xlsx,1
irk,GRE,GRE核心词,GRE核心词,,v.,使…厌烦,,,gre核心词data.xlsx,1
irreversible,GRE,GRE核心词,GRE核心词,,adj.,不可逆的,,,gre核心词data.xlsx,1
irritate,GRE,GRE核心词,GRE核心词,,v.,使...不高兴,,,gre核心词data.xlsx,1
iterate,GRE,GRE核心词,GRE核心词,,v.,"重说一遍, 重做一遍",,,gre核心词data.xlsx,1
itinerant,GRE,GRE核心词,GRE核心词,,adj.,巡游的,,,gre核心词data.xlsx,1
jade,GRE,GRE核心词,GRE核心词,,v.,使…厌烦,,,gre核心词data.xlsx,1
jaded,GRE,GRE核心词,GRE核心词,,adj.,厌倦的，无聊的,,,gre核心词data.xlsx,1
jar,GRE,GRE核心词,GRE核心词,,v.,使...不安,,,gre核心词data.xlsx,1
jaundice,GRE,GRE核心词,GRE核心词,,n.,嫉妒,,,gre核心词data.xlsx,1
jealous,GRE,GRE核心词,GRE核心词,,adj.,"死守严防的, 精心守护的",,,gre核心词data.xlsx,1
jejune,GRE,GRE核心词,GRE核心词,,adj.,无聊的,,,gre核心词data.xlsx,1
jeopardize,GRE,GRE核心词,GRE核心词,,v.,使...危险,,,gre核心词data.xlsx,1
jettison,GRE,GRE核心词,GRE核心词,,v.,"拒绝, 放弃",,,gre核心词data.xlsx,1
jockey,GRE,GRE核心词,GRE核心词,,v.,不择手段的谋取有利地位,,,gre核心词data.xlsx,1
jovial,GRE,GRE核心词,GRE核心词,,adj.,高兴,,,gre核心词data.xlsx,1
jubilant,GRE,GRE核心词,GRE核心词,,adj.,喜悦的,,,gre核心词data.xlsx,1
jubilation,GRE,GRE核心词,GRE核心词,,n.,"高兴, 喜悦",,,gre核心词data.xlsx,1
judicious,GRE,GRE核心词,GRE核心词,,adj.,有正确判断力的,,,gre核心词data.xlsx,1
justification,GRE,GRE核心词,GRE核心词,,n.,理由,,,gre核心词data.xlsx,1
juvenile,GRE,GRE核心词,GRE核心词,,adj.,"幼稚, 不成熟的",,,gre核心词data.xlsx,1
juxtapose,GRE,GRE核心词,GRE核心词,,v.,并排放置,,,gre核心词data.xlsx,1
keen,GRE,GRE核心词,GRE核心词,,adj.,对...感兴趣的,,,gre核心词data.xlsx,1
kindle,GRE,GRE核心词,GRE核心词,,v.,点燃,,,gre核心词data.xlsx,1
kindred,GRE,GRE核心词,GRE核心词,,adj.,"相关的, 相似的",,,gre核心词data.xlsx,1
kinfolk,GRE,GRE核心词,GRE核心词,,n.,亲戚,,,gre核心词data.xlsx,1
knotty,GRE,GRE核心词,GRE核心词,,adj.,复杂的,,,gre核心词data.xlsx,1
laborious,GRE,GRE核心词,GRE核心词,,adj.,费力的,,,gre核心词data.xlsx,1
labyrinthine,GRE,GRE核心词,GRE核心词,,adj.,复杂的,,,gre核心词data.xlsx,1
lachrymose,GRE,GRE核心词,GRE核心词,,adj.,"催泪的, 悲伤的",,,gre核心词data.xlsx,1
